コード,市区町村名,人数,獲得比率,距離
14204,鎌倉市,5242091,0.533,1.6
14208,逗子市,790191,0.444,3.9
14205,藤沢市,625263,0.069,9.4
14201,横須賀市,588416,0.070,14.0
14110,横浜市戸塚区,250583,0.065,9.4
14301,三浦郡葉山町,232409,0.287,7.2
14115,横浜市栄区,225352,0.104,4.9
14111,横浜市港南区,221422,0.052,8.6
14108,横浜市金沢区,202776,0.064,7.6
14207,茅ヶ崎市,182388,0.046,13.6
14107,横浜市磯子区,157287,0.051,10.2
14109,横浜市港北区,105337,0.022,24.0
14112,横浜市旭区,105309,0.026,17.5
13111,大田区,100104,0.011,31.3
14116,横浜市泉区,96588,0.040,11.9
13112,世田谷区,96298,0.009,36.2
14102,横浜市神奈川区,94725,0.024,19.5
14136,川崎市宮前区,93126,0.014,29.8
14106,横浜市保土ケ谷区,91677,0.035,16.5
14105,横浜市南区,90372,0.037,12.7
13120,練馬区,82424,0.007,47.9
14203,平塚市,79934,0.024,21.4
13209,町田市,66449,0.013,28.8
14213,大和市,65243,0.023,19.1
14153,相模原市南区,64155,0.015,26.5
13109,品川区,62270,0.014,36.4
14210,三浦市,61985,0.060,18.0
14101,横浜市鶴見区,57796,0.017,23.7
13115,杉並区,56340,0.009,42.8
14131,川崎市川崎区,51038,0.014,26.8
14104,横浜市中区,48988,0.027,15.1
14117,横浜市青葉区,48088,0.014,27.0
13110,目黒区,45378,0.013,37.3
14113,横浜市緑区,44322,0.017,22.1
14133,川崎市中原区,43011,0.016,30.0
14212,厚木市,42785,0.012,25.8
13117,北区,42783,0.007,52.3
14118,横浜市都筑区,41833,0.016,24.8
14114,横浜市瀬谷区,40638,0.024,17.6
13123,江戸川区,39922,0.006,51.4
13121,足立区,39502,0.005,55.6
14132,川崎市幸区,38062,0.019,27.5
13119,板橋区,37600,0.006,51.4
13201,八王子市,37405,0.006,45.8
12204,船橋市,36920,0.006,62.2
13107,墨田区,36702,0.007,50.3
13108,江東区,36670,0.006,43.5
