コード,市区町村名,人数,獲得比率,距離
14204,鎌倉市,3649802,0.433,1.6
14208,逗子市,599888,0.370,3.9
14205,藤沢市,392028,0.044,9.4
14201,横須賀市,381338,0.049,14.0
14110,横浜市戸塚区,244938,0.049,9.4
14115,横浜市栄区,242808,0.083,4.9
14108,横浜市金沢区,143468,0.046,7.6
14207,茅ヶ崎市,142368,0.033,13.6
14301,三浦郡葉山町,133950,0.193,7.2
14111,横浜市港南区,122040,0.034,8.6
14213,大和市,98858,0.016,19.1
14106,横浜市保土ケ谷区,94905,0.025,16.5
13112,世田谷区,81066,0.007,36.2
14107,横浜市磯子区,77582,0.029,10.2
14116,横浜市泉区,61070,0.023,11.9
13111,大田区,60793,0.007,31.3
14105,横浜市南区,59415,0.021,12.7
14203,平塚市,54698,0.015,21.4
14109,横浜市港北区,52396,0.014,24.0
14102,横浜市神奈川区,50507,0.017,19.5
13109,品川区,48443,0.007,36.4
14136,川崎市宮前区,46721,0.009,29.8
14112,横浜市旭区,45248,0.016,17.5
14104,横浜市中区,39133,0.020,15.1
14206,小田原市,38538,0.011,39.8
13120,練馬区,36792,0.005,47.9
13115,杉並区,34948,0.005,42.8
14117,横浜市青葉区,34403,0.011,27.0
13209,町田市,33916,0.007,28.8
14101,横浜市鶴見区,33773,0.010,23.7
14210,三浦市,32688,0.028,18.0
14133,川崎市中原区,31095,0.011,30.0
13110,目黒区,30302,0.008,37.3
14132,川崎市幸区,28841,0.014,27.5
14118,横浜市都筑区,28271,0.013,24.8
13108,江東区,28174,0.005,43.5
14103,横浜市西区,27887,0.020,16.7
14113,横浜市緑区,27847,0.012,22.1
13119,板橋区,27805,0.005,51.4
13107,墨田区,27489,0.005,50.3
14212,厚木市,26737,0.009,25.8
13123,江戸川区,26171,0.004,51.4
14131,川崎市川崎区,25212,0.008,26.8
14153,相模原市南区,25172,0.008,26.5
14321,高座郡寒川町,24915,0.022,16.0
14114,横浜市瀬谷区,24708,0.015,17.6
13114,中野区,24501,0.005,44.4
13201,八王子市,23769,0.003,45.8
