コード,市区町村名,人数,獲得比率,距離
14205,藤沢市,2135484,0.084,6.2
14204,鎌倉市,952389,0.114,6.1
14207,茅ヶ崎市,115834,0.023,8.6
14110,横浜市戸塚区,56633,0.014,11.0
14213,大和市,53779,0.013,18.1
13112,世田谷区,51641,0.004,38.6
14203,平塚市,44871,0.009,16.1
14111,横浜市港南区,43973,0.007,12.4
14201,横須賀市,43401,0.009,19.0
13201,八王子市,40748,0.003,43.6
14116,横浜市泉区,39259,0.012,12.0
14135,川崎市多摩区,38545,0.007,34.8
13115,杉並区,27578,0.003,44.9
13111,大田区,27013,0.003,35.0
14117,横浜市青葉区,25803,0.006,27.8
14115,横浜市栄区,25318,0.018,9.2
14153,相模原市南区,22890,0.008,25.0
13108,江東区,22743,0.002,47.4
13209,町田市,22522,0.005,28.2
14321,高座郡寒川町,20390,0.015,11.5
13119,板橋区,19416,0.002,53.9
14104,横浜市中区,17533,0.006,19.7
14133,川崎市中原区,17422,0.005,32.9
14212,厚木市,17221,0.006,22.1
14114,横浜市瀬谷区,15966,0.006,17.6
13121,足立区,15728,0.002,58.9
13120,練馬区,15655,0.002,49.8
14106,横浜市保土ケ谷区,15586,0.006,19.2
14107,横浜市磯子区,15488,0.007,14.9
14206,小田原市,15034,0.007,34.0
14108,横浜市金沢区,14935,0.007,13.2
14102,横浜市神奈川区,14772,0.006,22.8
14109,横浜市港北区,14562,0.004,26.9
14112,横浜市旭区,14479,0.005,18.7
14301,三浦郡葉山町,14412,0.028,11.5
14131,川崎市川崎区,13592,0.004,31.1
14105,横浜市南区,13064,0.005,16.2
14101,横浜市鶴見区,12424,0.004,27.4
14113,横浜市緑区,12332,0.006,22.8
14216,座間市,12257,0.007,21.2
14137,川崎市麻生区,11767,0.006,31.7
14152,相模原市中央区,11761,0.004,29.8
13110,目黒区,11747,0.004,40.5
11203,川口市,11387,0.002,62.0
14132,川崎市幸区,11245,0.004,31.0
14118,横浜市都筑区,11241,0.005,26.8
13109,品川区,11052,0.002,39.9
14218,綾瀬市,10354,0.009,15.0
13208,調布市,10344,0.002,39.2
14208,逗子市,10110,0.016,9.0
13123,江戸川区,9799,0.001,55.6
14211,秦野市,9450,0.005,27.8
13114,中野区,9285,0.002,47.0
14215,海老名市,8997,0.006,16.7
13122,葛飾区,8926,0.002,59.2
14136,川崎市宮前区,8561,0.003,31.6
13117,北区,8390,0.002,55.2
14134,川崎市高津区,8045,0.003,32.9
13104,新宿区,7911,0.002,48.1
13107,墨田区,7845,0.003,54.0
12203,市川市,7307,0.001,59.9
13116,豊島区,7277,0.002,50.5
12207,松戸市,7166,0.001,68.0
12204,船橋市,6957,0.001,66.8
13103,港区,6927,0.002,44.4
14214,伊勢原市,6711,0.005,20.2
14151,相模原市緑区,6561,0.003,37.0
13105,文京区,6143,0.002,50.7
13206,府中市,5996,0.002,40.2
14103,横浜市西区,5988,0.005,20.3
13113,渋谷区,5970,0.002,43.7
11108,さいたま市南区,5868,0.002,61.3
13106,台東区,5851,0.002,52.1
13211,小平市,5453,0.003,46.2
14341,中郡大磯町,4992,0.013,17.6
14210,三浦市,4732,0.008,20.6
11208,所沢市,4535,0.001,54.8
13224,多摩市,4218,0.003,35.8
13204,三鷹市,4204,0.002,41.9
13212,日野市,4000,0.002,40.1
11201,川越市,3896,0.001,65.4
10202,高崎市,3694,0.001,122.4
13219,狛江市,3684,0.004,36.8
12220,流山市,3615,0.001,73.7
11107,さいたま市浦和区,3585,0.001,64.3
11222,越谷市,3530,0.001,71.8
14342,中郡二宮町,3394,0.009,21.4
12217,柏市,3345,0.001,75.9
13210,小金井市,3341,0.002,43.4
09201,宇都宮市,3304,0.001,147.4
12227,浦安市,3263,0.002,53.2
14361,足柄上郡中井町,3254,0.013,24.5
14217,南足柄市,3209,0.005,37.8
13102,中央区,3058,0.002,48.3
13202,立川市,2837,0.001,45.2
12101,千葉市中央区,2576,0.001,66.6
11230,新座市,2534,0.001,53.6
13203,武蔵野市,2519,0.002,44.6
10201,前橋市,2511,0.001,129.5
13229,西東京市,2466,0.001,47.5
11227,朝霞市,2393,0.002,56.0
12212,佐倉市,2301,0.001,81.1
11235,富士見市,2247,0.002,61.1
13225,稲城市,2240,0.002,35.3
13220,東大和市,2229,0.003,49.0
11102,さいたま市北区,2184,0.001,70.9
13118,荒川区,2166,0.001,54.6
11224,戸田市,2150,0.001,58.1
12224,鎌ケ谷市,2137,0.001,68.8
13222,東久留米市,2135,0.002,49.2
11225,入間市,2100,0.001,57.4
11104,さいたま市見沼区,2077,0.001,70.6
13205,青梅市,2039,0.001,58.9
12219,市原市,2036,0.001,60.2
22203,沼津市,2030,0.001,61.4
13228,あきる野市,1983,0.002,53.0
