コード,市区町村名,人数,獲得比率,距離
14201,横須賀市,1241909,0.114,2.8
14108,横浜市金沢区,96127,0.020,8.8
14105,横浜市南区,51382,0.007,17.3
13109,品川区,41816,0.003,37.0
14118,横浜市都筑区,37014,0.005,30.0
14208,逗子市,34446,0.032,8.3
14110,横浜市戸塚区,30263,0.006,18.4
14210,三浦市,28326,0.039,12.7
14111,横浜市港南区,26616,0.008,14.8
13111,大田区,25152,0.003,31.7
14107,横浜市磯子区,22293,0.009,12.9
14115,横浜市栄区,20218,0.007,12.7
14204,鎌倉市,18561,0.006,12.7
14112,横浜市旭区,17040,0.005,25.0
14205,藤沢市,14682,0.003,21.3
13112,世田谷区,14315,0.001,39.4
14301,三浦郡葉山町,13817,0.031,6.5
14203,平塚市,13590,0.002,33.3
13201,八王子市,11280,0.001,55.9
14109,横浜市港北区,11001,0.003,27.3
13115,杉並区,10558,0.002,46.3
14106,横浜市保土ケ谷区,10300,0.004,21.7
14133,川崎市中原区,10200,0.002,32.5
14101,横浜市鶴見区,10108,0.003,25.1
14104,横浜市中区,9741,0.005,15.8
14102,横浜市神奈川区,9539,0.004,22.9
13121,足立区,9271,0.001,56.0
14207,茅ヶ崎市,8664,0.003,25.5
14114,横浜市瀬谷区,8509,0.002,26.6
13209,町田市,8073,0.002,37.4
14131,川崎市川崎区,7925,0.003,26.3
13120,練馬区,6999,0.001,51.6
13123,江戸川区,6863,0.001,49.3
14103,横浜市西区,6664,0.006,19.8
13119,板橋区,6583,0.001,53.9
12204,船橋市,6201,0.001,58.5
13116,豊島区,6180,0.001,49.6
14113,横浜市緑区,6131,0.003,29.5
14132,川崎市幸区,5839,0.003,28.9
13108,江東区,5833,0.001,42.7
12203,市川市,5825,0.001,53.0
10205,太田市,5707,0.001,117.6
13110,目黒区,5651,0.002,38.8
11203,川口市,5437,0.001,61.3
14117,横浜市青葉区,5317,0.002,33.8
14215,海老名市,5231,0.002,31.0
14153,相模原市南区,5227,0.002,36.3
22101,静岡市葵区,5190,0.002,129.9
14212,厚木市,4969,0.002,37.3
14116,横浜市泉区,4959,0.003,21.7
