コード,市区町村名,人数,獲得比率,距離
14201,横須賀市,1062874,0.094,2.8
14108,横浜市金沢区,67774,0.016,8.8
14111,横浜市港南区,53708,0.007,14.8
14301,三浦郡葉山町,42877,0.033,6.5
14113,横浜市緑区,41743,0.004,29.5
14208,逗子市,28197,0.021,8.3
14204,鎌倉市,25166,0.006,12.7
14210,三浦市,24190,0.036,12.7
14105,横浜市南区,22494,0.005,17.3
14205,藤沢市,20830,0.003,21.3
14207,茅ヶ崎市,19058,0.003,25.5
13111,大田区,17041,0.002,31.7
14107,横浜市磯子区,14381,0.005,12.9
14102,横浜市神奈川区,13982,0.004,22.9
14110,横浜市戸塚区,13442,0.005,18.4
14109,横浜市港北区,12772,0.003,27.3
14112,横浜市旭区,12431,0.003,25.0
14101,横浜市鶴見区,11618,0.003,25.1
14104,横浜市中区,11249,0.003,15.8
14115,横浜市栄区,11075,0.007,12.7
13112,世田谷区,10637,0.001,39.4
14118,横浜市都筑区,10340,0.002,30.0
14384,足柄下郡湯河原町,10223,0.003,55.9
14133,川崎市中原区,9413,0.002,32.5
14106,横浜市保土ケ谷区,9144,0.004,21.7
13120,練馬区,9026,0.001,51.6
13123,江戸川区,8878,0.001,49.3
14117,横浜市青葉区,8126,0.002,33.8
13108,江東区,7839,0.001,42.7
13109,品川区,7726,0.002,37.0
13209,町田市,6913,0.001,37.4
13121,足立区,6225,0.001,56.0
13119,板橋区,5990,0.001,53.9
14203,平塚市,5864,0.002,33.3
07405,耶麻郡西会津町,5840,0.006,264.2
14213,大和市,5549,0.002,28.9
14131,川崎市川崎区,5431,0.002,26.3
11203,川口市,5168,0.001,61.3
12207,松戸市,5127,0.001,62.1
13115,杉並区,4805,0.001,46.3
13201,八王子市,4647,0.001,55.9
14134,川崎市高津区,4536,0.002,34.4
12203,市川市,4441,0.001,53.0
11201,川越市,4339,0.001,70.7
13122,葛飾区,4180,0.001,54.6
14116,横浜市泉区,3998,0.002,21.7
14153,相模原市南区,3900,0.001,36.3
14152,相模原市中央区,3888,0.001,41.4
11215,狭山市,3829,0.001,68.2
14103,横浜市西区,3804,0.003,19.8
14135,川崎市多摩区,3793,0.002,38.8
13114,中野区,3727,0.001,46.9
14136,川崎市宮前区,3601,0.001,34.7
12204,船橋市,3595,0.001,58.5
12217,柏市,3412,0.001,69.9
14132,川崎市幸区,3385,0.002,28.9
14114,横浜市瀬谷区,3237,0.003,26.6
13117,北区,3203,0.001,53.8
14218,綾瀬市,3139,0.003,28.1
14216,座間市,2952,0.002,33.2
13104,新宿区,2860,0.001,46.6
13113,渋谷区,2840,0.001,42.6
14211,秦野市,2777,0.002,44.9
14212,厚木市,2731,0.001,37.3
13206,府中市,2696,0.001,46.4
11221,草加市,2610,0.001,62.7
14206,小田原市,2581,0.001,50.6
13118,荒川区,2562,0.001,51.6
13105,文京区,2537,0.001,48.6
13110,目黒区,2440,0.001,38.8
14151,相模原市緑区,2421,0.001,51.2
14137,川崎市麻生区,2401,0.001,38.0
13116,豊島区,2385,0.001,49.6
13208,調布市,2313,0.001,43.4
14215,海老名市,2252,0.002,31.0
12227,浦安市,2221,0.001,45.4
13106,台東区,2182,0.001,48.7
