年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,56334,54982,11550,26492,27066,74904,10344,5437
2021,31033,28382,6853,13175,12753,47039,4638,1471
2024,52819,39726,11387,20152,18970,72895,5536,5168
