年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,49627,29897,8163,17649,16828,35109,5498,2710
2021,16592,14297,5579,8685,8725,22424,1673,873
2024,26543,20175,2166,8033,10961,68252,1958,2562
