年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,253480,32759,19944,948366,33225,140218,7230,3409
2021,153538,20669,16724,364128,19102,35825,3509,1116
2024,184608,64364,15034,452205,38538,75171,2301,2581
