年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,44441,152684,24433,29587,105309,460613,20851,17040
2021,24061,79182,18587,15688,60644,287101,15642,3964
2024,31119,81632,14479,16228,45248,329916,11463,12431
