年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,58899,45331,9058,38912,25231,67023,6782,4813
2021,26017,28134,8558,20218,17108,35589,4135,1805
2024,39107,32736,9285,17715,24501,44483,3512,3727
