年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,54115,82316,34626,46126,64155,146519,13053,5227
2021,23256,36510,32768,27394,50988,63078,8339,2981
2024,41517,39244,22890,23766,25172,108027,5439,3900
