年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,41864,305129,24485,19592,90372,977018,23954,51382
2021,24128,192639,15186,13946,50353,504701,22172,18810
2024,36728,177096,13064,10119,59415,633783,13399,22494
