年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,68607,74684,17509,40169,37405,105404,12019,11280
2021,33756,35691,14430,17290,20705,62924,7334,3484
2024,49048,44057,40748,20341,23769,101311,5099,4647
