年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,22144,145691,11499,8321,29951,817207,6161,6664
2021,11465,83624,6657,7303,27951,695598,5720,3840
2024,16026,66468,5988,4030,27887,703827,4225,3804
