年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,52789,39029,16803,23661,33733,105357,5941,3726
2021,27936,29061,5372,43234,16393,35309,3260,6312
2024,36690,27519,6927,39302,21911,48998,3401,1810
