年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,41005,44492,24151,40621,42785,89733,6982,4969
2021,16699,15574,14533,24074,23324,46158,5796,2053
2024,30849,23969,17221,24614,26737,57884,4401,2731
