年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,74891,76124,14115,34633,39502,102058,12586,9271
2021,39185,38229,9825,20562,26155,58117,6851,3235
2024,56730,54921,15728,23008,20511,83773,5795,6225
