年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,88111,78698,18608,32100,62270,160297,19071,41816
2021,54556,47197,12894,17611,32066,143127,9334,6438
2024,65872,55405,11052,26247,48443,126613,9292,7726
