年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,30528,287941,22055,15359,157287,491798,22964,22293
2021,19090,136858,14672,13345,76110,316302,14467,10000
2024,28554,154379,15488,9395,77582,340194,10779,14381
