年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,21052,79219,16518,13576,40638,174459,6398,8509
2021,7885,28162,9985,7401,20864,106021,5814,2042
2024,17108,26562,15966,9132,24708,140367,5987,3237
