年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,28156,54864,12629,20961,93126,96849,8914,4839
2021,14062,26775,11419,10945,14294,111323,8063,3060
2024,22928,38940,8561,15117,46721,107044,8157,3601
