年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,31091,1152151,12845,9689,48988,811784,10339,9741
2021,15604,1163645,37342,9205,47965,656362,11423,11558
2024,24356,942734,17533,8008,39133,648952,5260,11249
