年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,55277,242042,20192,23902,94725,871644,15261,9539
2021,30419,126244,14912,16806,49183,584688,13821,9336
2024,40414,126688,14772,15638,50507,786487,9249,13982
