年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,47582,49044,8477,24380,21884,51109,6721,4225
2021,22880,20004,3623,10213,10260,20516,2789,1127
2024,37759,33212,7166,13531,15479,40522,3545,5127
