年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,38927,45682,15310,28113,26958,98700,10721,4579
2021,17153,25071,16276,21553,17705,69370,9398,3879
2024,31635,39919,38545,18087,20956,85989,5119,3793
