年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,67379,59593,44476,68244,79934,155503,17117,13590
2021,53164,39274,55726,48847,45987,74307,7649,2415
2024,83613,44056,44871,51146,54698,84297,6545,5864
