年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,75845,70021,132138,42291,182388,214725,12694,8664
2021,56925,31696,115298,25478,123546,113554,12444,4613
2024,74796,39735,115834,26921,142368,158233,9832,19058
