年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,155504,202073,31182,58418,100104,369929,35851,25152
2021,71483,110220,18250,30409,69313,244806,21322,7816
2024,100891,122558,27013,35649,60793,276810,18207,17041
