年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,143674,182979,51956,104686,96298,343512,21559,14315
2021,70579,106415,27584,67154,51904,198961,16234,5001
2024,133985,129980,51641,68952,81066,449577,17860,10637
