年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,58074,47167,9829,20483,24243,81252,9154,4777
2021,26021,29745,6583,11969,18398,30965,4076,2211
2024,43830,38406,8926,15171,21562,64824,4394,4180
