年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,35961,88132,37250,13866,225352,239336,13077,20218
2021,12974,38693,26668,8129,164672,136827,11292,8162
2024,27701,50207,25318,7720,242808,176699,8501,11075
