年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,34381,205961,19079,21052,91677,595286,16649,10300
2021,20931,107774,16034,14876,55753,432583,14448,12261
2024,36688,93596,15586,14684,94905,484546,14464,9144
