年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,66211,63248,14230,30671,36670,87832,11569,5833
2021,37370,35171,8906,23437,23515,52059,7242,5061
2024,59344,49975,22743,26293,28174,72643,6013,7839
