年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,34382,84906,11470,20100,44322,204783,8846,6131
2021,13110,42690,8075,10723,23978,175146,9539,4755
2024,29406,61220,12332,9919,27847,196206,8824,41743
