年,atami,chukagai,enoshima,hakone,kamakura,minatomirai,miura,yokosuka
2018,56562,217521,29710,21588,221422,548630,33283,26616
2021,31029,96976,17280,15962,115019,311356,24406,26890
2024,35625,91220,43973,11374,122040,403357,23213,53708
