コード,市区町村名,人数,獲得比率,距離
14301,三浦郡葉山町,6986,0.020,19.4
13220,東大和市,6970,0.008,39.4
11106,さいたま市桜区,6939,0.006,46.5
05201,秋田市,6922,0.002,471.0
04102,仙台市宮城野区,6921,0.003,336.0
08203,土浦市,6817,0.005,88.3
08221,ひたちなか市,6784,0.004,133.8
22215,御殿場市,6757,0.008,70.3
22212,焼津市,6625,0.005,139.0
11202,熊谷市,6502,0.003,83.8
07203,郡山市,6461,0.002,229.8
11228,志木市,6294,0.008,44.3
12208,野田市,6208,0.004,65.4
11218,深谷市,6176,0.004,89.0
11233,北本市,6168,0.007,65.7
13219,狛江市,6093,0.007,22.2
08204,古河市,6057,0.004,83.0
27227,東大阪市,5959,0.001,376.7
09203,栃木市,5951,0.004,100.7
38201,松山市,5912,0.001,651.1
25201,大津市,5857,0.002,344.7
13215,国立市,5766,0.007,32.9
23114,名古屋市緑区,5740,0.002,246.1
13218,福生市,5724,0.009,42.7
11105,さいたま市中央区,5712,0.005,48.4
12224,鎌ケ谷市,5620,0.005,48.3
12229,袖ケ浦市,5588,0.009,35.1
29201,奈良市,5576,0.002,353.9
28204,西宮市,5574,0.001,400.5
12228,四街道市,5563,0.006,54.4
11209,飯能市,5514,0.006,64.3
11241,鶴ヶ島市,5498,0.007,59.4
15103,新潟市中央区,5488,0.003,279.4
12225,君津市,5487,0.007,39.9
03201,盛岡市,5443,0.002,499.2
12231,印西市,5433,0.005,61.9
22213,掛川市,5422,0.005,165.9
06201,山形市,5418,0.002,317.9
23116,名古屋市天白区,5398,0.003,244.3
22208,伊東市,5387,0.007,74.7
08202,日立市,5374,0.003,155.7
23212,安城市,5350,0.003,241.1
11217,鴻巣市,5347,0.004,71.6
24201,津市,5345,0.002,311.9
15202,長岡市,5298,0.002,237.0
22211,磐田市,5284,0.003,179.5
22214,藤枝市,5275,0.004,140.7
28201,姫路市,5250,0.001,456.0
11210,加須市,5195,0.004,77.8
13221,清瀬市,5195,0.006,39.4
20203,上田市,5185,0.003,165.0
23104,名古屋市西区,5158,0.003,251.6
24202,四日市市,5125,0.002,286.1
04105,仙台市泉区,5097,0.002,339.6
27207,高槻市,5081,0.001,372.3
11223,蕨市,5054,0.006,42.5
08232,神栖市,5032,0.005,107.6
23113,名古屋市守山区,5019,0.003,241.4
23207,豊川市,4969,0.003,219.2
12211,成田市,4960,0.004,76.2
09202,足利市,4943,0.003,103.3
21202,大垣市,4935,0.003,288.3
12210,茂原市,4930,0.005,58.8
37201,高松市,4926,0.001,527.3
45201,宮崎市,4848,0.001,865.5
11101,さいたま市西区,4833,0.005,52.1
01204,旭川市,4741,0.001,952.0
13223,武蔵村山市,4714,0.007,41.9
02201,青森市,4659,0.002,602.4
40133,福岡市中央区,4643,0.002,872.8
11234,八潮市,4639,0.005,45.7
22134,浜松市南区,4553,0.005,191.1
11239,坂戸市,4498,0.004,61.7
04104,仙台市太白区,4495,0.002,325.9
11110,さいたま市岩槻区,4470,0.004,55.7
47201,那覇市,4467,0.001,1532.6
01105,札幌市豊平区,4464,0.002,852.7
15222,上越市,4454,0.002,222.1
11211,本庄市,4432,0.005,95.9
33101,岡山市北区,4428,0.001,531.0
27205,吹田市,4419,0.001,382.7
22132,浜松市東区,4405,0.003,186.7
18201,福井市,4394,0.002,322.2
20217,佐久市,4394,0.004,136.5
