コード,市区町村名,人数,獲得比率,距離
14104,横浜市中区,1152151,0.216,2.2
14105,横浜市南区,305129,0.084,4.8
14107,横浜市磯子区,287941,0.090,6.3
14102,横浜市神奈川区,242042,0.065,5.1
14109,横浜市港北区,230744,0.049,9.4
14111,横浜市港南区,217521,0.068,8.2
14106,横浜市保土ケ谷区,205961,0.062,6.0
13111,大田区,202073,0.022,15.0
14110,横浜市戸塚区,183090,0.047,11.2
13112,世田谷区,182979,0.017,21.5
14112,横浜市旭区,152684,0.050,11.0
14205,藤沢市,145902,0.028,18.9
14103,横浜市西区,145691,0.090,2.7
14108,横浜市金沢区,143403,0.053,10.4
14201,横須賀市,138457,0.029,20.7
14101,横浜市鶴見区,131955,0.038,7.6
14117,横浜市青葉区,127879,0.032,17.3
14204,鎌倉市,98316,0.035,15.0
14133,川崎市中原区,95743,0.033,14.7
14118,横浜市都筑区,95340,0.044,12.6
13120,練馬区,95258,0.013,33.7
14115,横浜市栄区,88132,0.054,11.6
13209,町田市,85178,0.018,22.7
14113,横浜市緑区,84906,0.042,14.2
14153,相模原市南区,82316,0.020,23.6
13115,杉並区,80858,0.012,28.4
14114,横浜市瀬谷区,79219,0.043,14.6
13109,品川区,78698,0.018,20.3
14116,横浜市泉区,77927,0.044,13.4
13121,足立区,76124,0.009,39.5
13123,江戸川区,75476,0.011,35.1
13201,八王子市,74684,0.010,42.1
14131,川崎市川崎区,73397,0.029,10.5
13119,板橋区,71956,0.012,36.3
14213,大和市,71364,0.024,17.7
14207,茅ヶ崎市,70021,0.026,24.1
13110,目黒区,67214,0.022,21.5
12204,船橋市,65367,0.010,46.2
14152,相模原市中央区,63531,0.021,28.1
13108,江東区,63248,0.011,27.2
14203,平塚市,59593,0.021,31.1
14134,川崎市高津区,58361,0.020,16.5
11203,川口市,54982,0.009,44.0
14136,川崎市宮前区,54864,0.022,17.0
14215,海老名市,53061,0.024,23.2
12207,松戸市,49044,0.009,47.7
12203,市川市,48009,0.010,39.4
13104,新宿区,47474,0.013,29.4
13122,葛飾区,47167,0.010,39.2
14132,川崎市幸区,46708,0.026,11.5
14135,川崎市多摩区,45682,0.020,21.1
13114,中野区,45331,0.013,29.3
14212,厚木市,44492,0.018,29.1
13117,北区,42676,0.011,36.6
12217,柏市,41397,0.010,55.6
11208,所沢市,41015,0.013,43.3
13116,豊島区,40206,0.013,32.2
13103,港区,39029,0.015,24.9
13113,渋谷区,36288,0.012,25.2
14137,川崎市麻生区,36123,0.019,21.2
14216,座間市,35293,0.019,21.9
09201,宇都宮市,34866,0.006,130.1
14206,小田原市,32759,0.016,52.2
13107,墨田区,32300,0.011,34.0
13105,文京区,31532,0.013,31.7
11222,越谷市,31120,0.009,53.3
13118,荒川区,29897,0.013,35.2
14208,逗子市,29813,0.035,17.1
12219,市原市,29587,0.011,45.4
13208,調布市,29022,0.012,25.7
13106,台東区,28518,0.011,32.5
11219,上尾市,28491,0.008,58.5
11201,川越市,28365,0.009,52.8
14211,秦野市,26768,0.015,40.4
14151,相模原市緑区,26736,0.015,39.8
10201,前橋市,26357,0.008,120.1
10202,高崎市,25478,0.007,115.2
13206,府中市,25052,0.010,29.2
11230,新座市,24346,0.010,39.2
12102,千葉市花見川区,23045,0.010,48.3
