コード,市区町村名,人数,獲得比率,距離
14104,横浜市中区,1163645,0.174,2.2
14105,横浜市南区,192639,0.045,4.8
14107,横浜市磯子区,136858,0.041,6.3
14109,横浜市港北区,127363,0.025,9.4
14102,横浜市神奈川区,126244,0.034,5.1
13111,大田区,110220,0.012,15.0
14106,横浜市保土ケ谷区,107774,0.032,6.0
13112,世田谷区,106415,0.009,21.5
14111,横浜市港南区,96976,0.029,8.2
14103,横浜市西区,83624,0.045,2.7
14101,横浜市鶴見区,81363,0.021,7.6
14112,横浜市旭区,79182,0.021,11.0
14205,藤沢市,72702,0.013,18.9
14108,横浜市金沢区,71593,0.025,10.4
14110,横浜市戸塚区,65575,0.019,11.2
14201,横須賀市,65151,0.013,20.7
14133,川崎市中原区,61560,0.018,14.7
14117,横浜市青葉区,50911,0.015,17.3
13120,練馬区,50599,0.006,33.7
14118,横浜市都筑区,48402,0.021,12.6
13209,町田市,48306,0.009,22.7
13109,品川区,47197,0.010,20.3
13110,目黒区,45390,0.013,21.5
13115,杉並区,44157,0.007,28.4
14116,横浜市泉区,43502,0.018,13.4
13123,江戸川区,43295,0.006,35.1
14113,横浜市緑区,42690,0.018,14.2
14131,川崎市川崎区,41376,0.015,10.5
14203,平塚市,39274,0.008,31.1
14115,横浜市栄区,38693,0.022,11.6
13121,足立区,38229,0.005,39.5
14153,相模原市南区,36510,0.010,23.6
13119,板橋区,36015,0.006,36.3
13201,八王子市,35691,0.005,42.1
14213,大和市,35555,0.012,17.7
13104,新宿区,35240,0.010,29.4
13108,江東区,35171,0.006,27.2
14134,川崎市高津区,34943,0.014,16.5
14204,鎌倉市,34517,0.017,15.0
14207,茅ヶ崎市,31696,0.010,24.1
12204,船橋市,31224,0.005,46.2
13122,葛飾区,29745,0.005,39.2
13103,港区,29061,0.010,24.9
14132,川崎市幸区,28468,0.014,11.5
11203,川口市,28382,0.004,44.0
14114,横浜市瀬谷区,28162,0.018,14.6
13116,豊島区,28158,0.008,32.2
13114,中野区,28134,0.008,29.3
14152,相模原市中央区,26830,0.009,28.1
14136,川崎市宮前区,26775,0.010,17.0
13117,北区,25470,0.007,36.6
14135,川崎市多摩区,25071,0.011,21.1
14216,座間市,24375,0.011,21.9
12203,市川市,23768,0.005,39.4
14206,小田原市,20669,0.007,52.2
13113,渋谷区,20561,0.009,25.2
12207,松戸市,20004,0.004,47.7
13107,墨田区,19149,0.007,34.0
13105,文京区,18987,0.008,31.7
13106,台東区,17800,0.007,32.5
13102,中央区,17655,0.009,28.5
14137,川崎市麻生区,16943,0.009,21.2
14212,厚木市,15574,0.007,29.1
13208,調布市,15246,0.006,25.7
13210,小金井市,15033,0.007,31.2
14215,海老名市,14565,0.009,23.2
13118,荒川区,14297,0.005,35.2
14210,三浦市,14187,0.013,30.0
11219,上尾市,13737,0.003,58.5
13206,府中市,13427,0.005,29.2
11222,越谷市,13350,0.004,53.3
13204,三鷹市,13165,0.007,27.7
14208,逗子市,13017,0.020,17.1
12217,柏市,12663,0.003,55.6
14151,相模原市緑区,12170,0.007,39.8
11208,所沢市,12004,0.004,43.3
13212,日野市,11396,0.005,33.0
14211,秦野市,11215,0.006,40.4
11227,朝霞市,11128,0.005,40.7
12227,浦安市,10788,0.006,32.7
11201,川越市,10412,0.003,52.8
11108,さいたま市南区,10337,0.005,45.0
13229,西東京市,10268,0.005,33.8
11221,草加市,9605,0.004,46.1
13214,国分寺市,9567,0.007,33.6
13211,小平市,9187,0.005,35.1
12219,市原市,9180,0.003,45.4
13203,武蔵野市,9160,0.005,30.4
13202,立川市,9049,0.004,36.7
11107,さいたま市浦和区,8501,0.005,47.9
12101,千葉市中央区,8345,0.004,47.5
14214,伊勢原市,7971,0.007,31.7
12216,習志野市,7910,0.004,43.9
12102,千葉市花見川区,7286,0.004,48.3
12103,千葉市稲毛区,7166,0.005,47.7
12212,佐倉市,7144,0.003,61.3
13224,多摩市,7142,0.005,27.5
09201,宇都宮市,6976,0.001,130.1
13213,東村山市,6930,0.005,38.4
11230,新座市,6813,0.004,39.2
14218,綾瀬市,6782,0.008,19.7
12206,木更津市,6733,0.005,28.9
08220,つくば市,6468,0.003,82.0
11234,八潮市,6460,0.004,45.7
12221,八千代市,6032,0.003,52.7
11214,春日部市,5946,0.002,61.7
11245,ふじみ野市,5876,0.004,48.6
11224,戸田市,5737,0.004,41.4
12106,千葉市美浜区,5694,0.004,43.2
13219,狛江市,5570,0.006,22.2
08203,土浦市,5510,0.002,88.3
13207,昭島市,5413,0.004,39.0
11237,三郷市,5276,0.004,47.0
22203,沼津市,5227,0.002,80.9
11102,さいたま市北区,5077,0.003,55.3
11103,さいたま市大宮区,5068,0.004,51.5
10202,高崎市,5032,0.001,115.2
13225,稲城市,4952,0.005,24.9
13222,東久留米市,4886,0.004,36.3
11229,和光市,4789,0.006,38.6
13101,千代田区,4754,0.007,28.6
11235,富士見市,4719,0.004,46.8
11215,狭山市,4657,0.003,50.8
11232,久喜市,4563,0.003,71.6
11225,入間市,4507,0.003,48.7
11104,さいたま市見沼区,4464,0.003,54.0
14321,高座郡寒川町,4449,0.009,24.5
22103,静岡市清水区,4409,0.002,112.5
11202,熊谷市,4388,0.002,83.8
14301,三浦郡葉山町,4375,0.013,19.4
11106,さいたま市桜区,4303,0.004,46.5
13215,国立市,4278,0.005,32.9
13205,青梅市,4265,0.003,53.9
12211,成田市,4214,0.003,76.2
11105,さいたま市中央区,4162,0.004,48.4
12220,流山市,4131,0.002,53.8
10201,前橋市,3959,0.001,120.1
22102,静岡市駿河区,3872,0.002,128.0
11228,志木市,3860,0.005,44.3
12104,千葉市若葉区,3836,0.003,54.0
12208,野田市,3767,0.002,65.4
11109,さいたま市緑区,3767,0.003,49.7
22101,静岡市葵区,3664,0.001,128.2
12105,千葉市緑区,3634,0.003,56.3
27203,豊中市,3619,0.001,386.9
12224,鎌ケ谷市,3595,0.003,48.3
19201,甲府市,3592,0.002,101.0
12222,我孫子市,3556,0.003,60.4
13220,東大和市,3515,0.004,39.4
11223,蕨市,3495,0.004,42.5
08217,取手市,3300,0.003,64.6
12225,君津市,3217,0.003,39.9
22210,富士市,3193,0.001,86.5
23202,岡崎市,3173,0.001,223.9
08201,水戸市,3157,0.001,124.8
14341,中郡大磯町,3133,0.009,35.0
12231,印西市,3101,0.003,61.9
23201,豊橋市,3071,0.001,218.4
11243,吉川市,3041,0.004,54.2
12229,袖ケ浦市,2994,0.005,35.1
04101,仙台市青葉区,2964,0.001,335.0
21201,岐阜市,2920,0.001,258.7
11239,坂戸市,2840,0.003,61.7
10205,太田市,2778,0.001,99.8
13218,福生市,2777,0.004,42.7
22131,浜松市中区,2761,0.001,192.2
13223,武蔵村山市,2750,0.004,41.9
11101,さいたま市西区,2702,0.003,52.1
09208,小山市,2663,0.002,96.7
23211,豊田市,2626,0.001,217.1
28204,西宮市,2594,0.001,400.5
11217,鴻巣市,2577,0.002,71.6
13221,清瀬市,2486,0.003,39.4
13228,あきる野市,2486,0.003,50.7
12232,白井市,2471,0.004,55.2
12228,四街道市,2465,0.003,54.4
22206,三島市,2459,0.002,72.6
23203,一宮市,2457,0.001,258.7
13227,羽村市,2446,0.004,46.5
08202,日立市,2406,0.001,155.7
11110,さいたま市岩槻区,2404,0.002,55.7
28202,尼崎市,2352,0.000,393.2
08221,ひたちなか市,2342,0.001,133.8
23110,名古屋市中川区,2323,0.001,257.1
09203,栃木市,2248,0.001,100.7
11218,深谷市,2219,0.001,89.0
11209,飯能市,2141,0.003,64.3
14342,中郡二宮町,2126,0.007,38.8
08235,つくばみらい市,2116,0.004,69.8
08224,守谷市,2110,0.003,63.2
23206,春日井市,2089,0.001,239.4
23116,名古屋市天白区,2079,0.001,244.3
27207,高槻市,2039,0.000,372.3
14401,愛甲郡愛川町,2038,0.005,32.6
28201,姫路市,1952,0.000,456.0
17201,金沢市,1948,0.000,289.1
11238,蓮田市,1925,0.003,61.8
11210,加須市,1923,0.002,77.8
23101,名古屋市千種区,1923,0.001,245.8
40133,福岡市中央区,1905,0.001,872.8
08232,神栖市,1897,0.002,107.6
08219,牛久市,1880,0.002,75.5
12210,茂原市,1858,0.002,58.8
22212,焼津市,1848,0.001,139.0
11241,鶴ヶ島市,1847,0.003,59.4
26103,京都市左京区,1816,0.001,349.6
08205,石岡市,1816,0.001,99.9
11212,東松山市,1796,0.002,70.2
08204,古河市,1783,0.001,83.0
01101,札幌市中央区,1744,0.001,857.1
11240,幸手市,1737,0.003,70.6
29201,奈良市,1735,0.000,353.9
22215,御殿場市,1723,0.002,70.3
10204,伊勢崎市,1690,0.001,105.9
11231,桶川市,1687,0.002,62.7
08208,龍ケ崎市,1681,0.002,75.6
23106,名古屋市中区,1679,0.002,250.3
27210,枚方市,1674,0.000,366.8
09202,足利市,1672,0.001,103.3
16201,富山市,1668,0.000,248.8
14217,南足柄市,1658,0.004,54.1
12202,銚子市,1653,0.002,106.4
20202,松本市,1649,0.001,181.8
23105,名古屋市中村区,1637,0.001,254.4
22207,富士宮市,1629,0.001,94.3
27205,吹田市,1625,0.000,382.7
23207,豊川市,1603,0.001,219.2
27227,東大阪市,1589,0.000,376.7
12239,大網白里市,1573,0.003,62.2
28214,宝塚市,1544,0.001,398.5
24202,四日市市,1530,0.000,286.1
