コード,市区町村名,人数,獲得比率,距離
14210,三浦市,1923040,0.494,3.8
14201,横須賀市,282763,0.031,14.4
14205,藤沢市,26867,0.004,28.6
14108,横浜市金沢区,24478,0.009,23.3
14111,横浜市港南区,23213,0.007,28.1
13111,大田区,18207,0.002,48.0
13112,世田谷区,17860,0.002,55.0
14106,横浜市保土ケ谷区,14464,0.006,36.0
14301,三浦郡葉山町,14066,0.020,14.6
14110,横浜市戸塚区,13575,0.005,30.1
14105,横浜市南区,13399,0.006,31.7
14101,横浜市鶴見区,13203,0.004,41.1
14109,横浜市港北区,12871,0.003,42.7
13120,練馬区,12500,0.001,67.1
14208,逗子市,12413,0.011,17.7
14112,横浜市旭区,11463,0.004,38.0
14107,横浜市磯子区,10779,0.006,27.7
14131,川崎市川崎区,9876,0.004,42.7
14116,横浜市泉区,9841,0.006,32.6
14207,茅ヶ崎市,9832,0.004,30.3
14117,横浜市青葉区,9768,0.003,47.4
13209,町田市,9365,0.002,49.5
13109,品川区,9292,0.002,53.3
14102,横浜市神奈川区,9249,0.004,38.1
14204,鎌倉市,9025,0.005,22.3
14113,横浜市緑区,8824,0.004,42.6
14115,横浜市栄区,8501,0.006,24.7
14118,横浜市都筑区,8191,0.004,44.6
14136,川崎市宮前区,8157,0.003,49.5
14134,川崎市高津区,7814,0.003,49.8
14213,大和市,7728,0.003,39.7
14203,平塚市,6545,0.002,36.5
13115,杉並区,6339,0.001,61.9
14216,座間市,6212,0.003,43.3
14152,相模原市中央区,6020,0.002,52.0
13108,江東区,6013,0.001,59.2
14114,横浜市瀬谷区,5987,0.004,38.4
13119,板橋区,5909,0.001,69.9
14133,川崎市中原区,5884,0.002,48.3
13123,江戸川区,5797,0.001,65.8
13121,足立区,5795,0.001,72.4
11203,川口市,5536,0.001,77.5
14153,相模原市南区,5439,0.002,47.0
14104,横浜市中区,5260,0.003,31.6
14135,川崎市多摩区,5119,0.002,53.4
13201,八王子市,5099,0.001,66.0
13110,目黒区,4798,0.002,55.0
12204,船橋市,4493,0.001,74.6
14132,川崎市幸区,4459,0.002,45.0
14212,厚木市,4401,0.001,44.5
13122,葛飾区,4394,0.001,71.1
13208,調布市,4325,0.001,58.0
