コード,市区町村名,人数,獲得比率,距離
14206,小田原市,364128,0.050,3.1
14382,足柄下郡箱根町,346919,0.464,4.8
13112,世田谷区,67154,0.005,66.3
14211,秦野市,63825,0.014,21.4
14203,平塚市,48847,0.011,24.4
13103,港区,43234,0.005,74.8
14205,藤沢市,41616,0.008,36.0
14217,南足柄市,36604,0.031,9.5
13209,町田市,30510,0.006,48.2
13111,大田区,30409,0.003,66.9
13104,新宿区,28907,0.006,76.5
13120,練馬区,28166,0.003,74.1
14153,相模原市南区,27394,0.008,43.1
13115,杉並区,27367,0.003,70.6
14207,茅ヶ崎市,25478,0.009,30.7
14201,横須賀市,25220,0.005,53.3
13113,渋谷区,25194,0.008,72.3
14384,足柄下郡湯河原町,25128,0.024,7.0
14213,大和市,24535,0.008,41.8
14212,厚木市,24074,0.008,32.8
14117,横浜市青葉区,23484,0.006,52.8
13108,江東区,23437,0.003,78.8
14109,横浜市港北区,22745,0.005,57.8
14137,川崎市麻生区,22451,0.010,54.7
14135,川崎市多摩区,21553,0.007,59.8
14110,横浜市戸塚区,20814,0.006,43.7
13121,足立区,20562,0.002,87.5
13114,中野区,20218,0.004,74.1
13123,江戸川区,19711,0.002,87.6
14204,鎌倉市,18963,0.009,42.3
14362,足柄上郡大井町,18489,0.029,13.1
14366,足柄上郡開成町,17813,0.028,11.9
13109,品川区,17611,0.003,70.8
13201,八王子市,17290,0.002,49.9
14102,横浜市神奈川区,16806,0.006,55.0
13119,板橋区,16773,0.002,79.9
14111,横浜市港南区,15962,0.006,47.2
14112,横浜市旭区,15688,0.005,47.7
14152,相模原市中央区,15406,0.005,44.5
13116,豊島区,15404,0.004,78.1
14133,川崎市中原区,15260,0.005,63.0
14134,川崎市高津区,15149,0.005,61.3
14106,横浜市保土ケ谷区,14876,0.006,51.1
13110,目黒区,14807,0.004,70.3
14105,横浜市南区,13946,0.005,50.1
13117,北区,13838,0.003,82.6
14101,横浜市鶴見区,13751,0.004,60.0
14107,横浜市磯子区,13345,0.007,50.4
14118,横浜市都筑区,13309,0.005,55.3
14116,横浜市泉区,13305,0.007,42.0
11203,川口市,13175,0.002,87.9
14216,座間市,13137,0.008,40.5
13208,調布市,12377,0.004,62.6
14214,伊勢原市,12213,0.010,26.8
13122,葛飾区,11969,0.002,89.5
12204,船橋市,11966,0.001,99.8
14108,横浜市金沢区,11902,0.005,49.4
13105,文京区,11829,0.003,79.5
14215,海老名市,11432,0.007,35.1
14136,川崎市宮前区,10945,0.004,58.7
14113,横浜市緑区,10723,0.005,49.2
13204,三鷹市,10721,0.004,65.4
12207,松戸市,10213,0.002,99.0
14131,川崎市川崎区,10208,0.003,64.5
12203,市川市,10138,0.002,92.1
14364,足柄上郡山北町,10043,0.022,22.5
14383,足柄下郡真鶴町,9950,0.042,8.2
13206,府中市,9883,0.003,60.5
13106,台東区,9472,0.003,82.0
22206,三島市,9307,0.004,18.0
14104,横浜市中区,9205,0.005,54.7
14341,中郡大磯町,9082,0.018,19.9
14363,足柄上郡松田町,8721,0.026,18.0
13107,墨田区,8703,0.002,84.5
13118,荒川区,8685,0.003,83.8
22203,沼津市,8603,0.004,26.5
14115,横浜市栄区,8129,0.006,45.0
14342,中郡二宮町,8117,0.017,16.2
14151,相模原市緑区,7871,0.004,40.1
14132,川崎市幸区,7736,0.004,62.8
22210,富士市,7565,0.001,33.9
13224,多摩市,7514,0.004,54.7
14114,横浜市瀬谷区,7401,0.005,44.1
14103,横浜市西区,7303,0.005,53.6
11208,所沢市,6962,0.002,71.7
13219,狛江市,6813,0.006,62.3
12217,柏市,6598,0.001,106.5
13102,中央区,6220,0.003,78.8
14218,綾瀬市,6074,0.006,37.7
13203,武蔵野市,6030,0.003,67.6
22205,熱海市,5955,0.010,16.4
13214,国分寺市,5692,0.003,62.1
11222,越谷市,5366,0.001,98.1
12227,浦安市,5172,0.002,86.6
14208,逗子市,5039,0.008,44.7
13211,小平市,5037,0.002,64.9
13225,稲城市,4956,0.004,56.7
22215,御殿場市,4795,0.005,19.8
13229,西東京市,4666,0.002,69.2
22208,伊東市,4513,0.004,31.8
22225,伊豆の国市,4461,0.005,24.5
13210,小金井市,4435,0.003,64.2
11107,さいたま市浦和区,4328,0.002,87.3
13212,日野市,4255,0.002,55.6
11108,さいたま市南区,4205,0.002,84.5
11227,朝霞市,4188,0.002,78.2
12101,千葉市中央区,4125,0.002,102.2
11230,新座市,4062,0.002,74.8
11201,川越市,3786,0.001,82.1
13101,千代田区,3699,0.004,77.7
12220,流山市,3552,0.001,103.0
22220,裾野市,3535,0.005,23.3
11224,戸田市,3526,0.002,82.2
12219,市原市,3481,0.001,96.3
12102,千葉市花見川区,3421,0.001,103.0
13202,立川市,3351,0.001,60.6
11103,さいたま市大宮区,3282,0.002,88.8
14321,高座郡寒川町,3281,0.006,30.8
13213,東村山市,3201,0.002,67.5
12221,八千代市,3170,0.001,106.9
11219,上尾市,3055,0.001,93.1
11221,草加市,3020,0.001,92.8
13207,昭島市,2973,0.002,58.3
14401,愛甲郡愛川町,2823,0.005,37.7
22341,駿東郡清水町,2813,0.005,23.5
14301,三浦郡葉山町,2809,0.008,46.1
13222,東久留米市,2746,0.002,69.4
12216,習志野市,2724,0.001,98.2
14210,三浦市,2631,0.005,49.2
22103,静岡市清水区,2579,0.001,58.0
12222,我孫子市,2508,0.001,112.2
13215,国立市,2317,0.002,59.4
11237,三郷市,2268,0.001,96.0
11225,入間市,2265,0.001,69.7
12104,千葉市若葉区,2200,0.001,108.8
13205,青梅市,2159,0.001,65.0
22101,静岡市葵区,2154,0.001,78.2
22344,駿東郡小山町,2079,0.008,17.9
11229,和光市,1985,0.002,77.9
11214,春日部市,1950,0.001,103.9
10202,高崎市,1927,0.000,123.8
11245,ふじみ野市,1924,0.001,80.1
11234,八潮市,1915,0.002,93.8
11232,久喜市,1880,0.001,108.0
12212,佐倉市,1861,0.001,116.1
22342,駿東郡長泉町,1830,0.004,21.7
08220,つくば市,1825,0.001,130.3
12103,千葉市稲毛区,1814,0.001,102.5
22325,田方郡函南町,1807,0.004,14.9
22102,静岡市駿河区,1790,0.001,73.1
14361,足柄上郡中井町,1787,0.018,15.8
11239,坂戸市,1739,0.001,85.2
11104,さいたま市見沼区,1725,0.001,93.1
12106,千葉市美浜区,1717,0.001,98.0
23110,名古屋市中川区,1687,0.001,205.9
08203,土浦市,1656,0.001,138.6
10201,前橋市,1648,0.000,134.5
13220,東大和市,1622,0.001,64.9
11109,さいたま市緑区,1604,0.001,91.2
12105,千葉市緑区,1601,0.001,110.3
12211,成田市,1584,0.001,130.8
11105,さいたま市中央区,1562,0.001,86.1
23202,岡崎市,1506,0.000,170.6
11235,富士見市,1480,0.001,81.1
23206,春日井市,1473,0.000,189.6
13223,武蔵村山市,1434,0.002,63.6
11217,鴻巣市,1425,0.001,101.1
12206,木更津市,1415,0.001,79.8
