コード,市区町村名,人数,獲得比率,距離
14206,小田原市,948366,0.090,3.1
14382,足柄下郡箱根町,307383,0.472,4.8
13112,世田谷区,104686,0.008,66.3
13209,町田市,88025,0.014,48.2
14203,平塚市,68244,0.016,24.4
14205,藤沢市,68138,0.013,36.0
14211,秦野市,61838,0.023,21.4
13115,杉並区,60950,0.008,70.6
13111,大田区,58418,0.006,66.9
13120,練馬区,56318,0.006,74.1
14153,相模原市南区,46126,0.014,43.1
14201,横須賀市,42802,0.008,53.3
14207,茅ヶ崎市,42291,0.015,30.7
14212,厚木市,40621,0.013,32.8
13201,八王子市,40169,0.005,49.9
13104,新宿区,39222,0.009,76.5
13114,中野区,38912,0.008,74.1
14137,川崎市麻生区,38532,0.017,54.7
13123,江戸川区,38304,0.004,87.6
13119,板橋区,37992,0.005,79.9
14213,大和市,35850,0.012,41.8
14152,相模原市中央区,34993,0.010,44.5
13121,足立区,34633,0.004,87.5
13113,渋谷区,33273,0.010,72.3
14217,南足柄市,32796,0.046,9.5
14117,横浜市青葉区,32646,0.009,52.8
13109,品川区,32100,0.006,70.8
14216,座間市,31220,0.012,40.5
14362,足柄上郡大井町,31182,0.046,13.1
13108,江東区,30671,0.004,78.8
13110,目黒区,30196,0.008,70.3
14112,横浜市旭区,29587,0.010,47.7
13117,北区,28910,0.006,82.6
12204,船橋市,28815,0.003,99.8
14110,横浜市戸塚区,28596,0.009,43.7
14133,川崎市中原区,28125,0.008,63.0
14135,川崎市多摩区,28113,0.010,59.8
11203,川口市,26492,0.003,87.9
14109,横浜市港北区,26194,0.007,57.8
14383,足柄下郡真鶴町,26191,0.092,8.2
12203,市川市,25394,0.004,92.1
12207,松戸市,24380,0.004,99.0
14101,横浜市鶴見区,24323,0.007,60.0
14366,足柄上郡開成町,24057,0.041,11.9
14102,横浜市神奈川区,23902,0.007,55.0
13103,港区,23661,0.007,74.8
14116,横浜市泉区,23012,0.012,42.0
22203,沼津市,22591,0.008,26.5
14118,横浜市都筑区,22232,0.009,55.3
14204,鎌倉市,22223,0.012,42.3
14108,横浜市金沢区,21884,0.009,49.4
13208,調布市,21858,0.007,62.6
14111,横浜市港南区,21588,0.008,47.2
13105,文京区,21422,0.007,79.5
11208,所沢市,21229,0.005,71.7
14106,横浜市保土ケ谷区,21052,0.008,51.1
14136,川崎市宮前区,20961,0.008,58.7
22325,田方郡函南町,20925,0.012,14.9
14214,伊勢原市,20852,0.016,26.8
13122,葛飾区,20483,0.003,89.5
13107,墨田区,20212,0.005,84.5
14215,海老名市,20134,0.013,35.1
14113,横浜市緑区,20100,0.009,49.2
14384,足柄下郡湯河原町,19790,0.038,7.0
14105,横浜市南区,19592,0.008,50.1
13116,豊島区,19410,0.005,78.1
12217,柏市,18829,0.003,106.5
13118,荒川区,17649,0.005,83.8
13229,西東京市,17530,0.006,69.2
13204,三鷹市,16619,0.006,65.4
13224,多摩市,16222,0.007,54.7
13206,府中市,15558,0.005,60.5
14107,横浜市磯子区,15359,0.008,50.4
14151,相模原市緑区,15337,0.007,40.1
14134,川崎市高津区,14959,0.005,61.3
22206,三島市,14726,0.012,18.0
14341,中郡大磯町,14715,0.025,19.9
13106,台東区,14500,0.005,82.0
11222,越谷市,13990,0.003,98.1
14115,横浜市栄区,13866,0.010,45.0
14114,横浜市瀬谷区,13576,0.009,44.1
14132,川崎市幸区,13462,0.006,62.8
14131,川崎市川崎区,13126,0.005,64.5
14218,綾瀬市,13039,0.011,37.7
13219,狛江市,12917,0.012,62.3
13212,日野市,12027,0.005,55.6
13211,小平市,11581,0.004,64.9
22101,静岡市葵区,11440,0.004,78.2
13203,武蔵野市,11420,0.006,67.6
13202,立川市,11009,0.004,60.6
11201,川越市,10992,0.003,82.1
22210,富士市,10868,0.004,33.9
13210,小金井市,10599,0.006,64.2
12216,習志野市,10041,0.004,98.2
12219,市原市,9893,0.003,96.3
14363,足柄上郡松田町,9812,0.033,18.0
09201,宇都宮市,9804,0.001,167.6
14104,横浜市中区,9689,0.006,54.7
22215,御殿場市,9665,0.008,19.8
13214,国分寺市,9582,0.005,62.1
12101,千葉市中央区,9052,0.004,102.2
11221,草加市,8875,0.003,92.8
11230,新座市,8498,0.003,74.8
13225,稲城市,8415,0.007,56.7
