コード,市区町村名,人数,獲得比率,距離
14105,横浜市南区,977018,0.185,4.8
14109,横浜市港北区,883413,0.132,7.8
14102,横浜市神奈川区,871644,0.174,3.5
14103,横浜市西区,817207,0.289,1.3
14104,横浜市中区,811784,0.243,3.8
14106,横浜市保土ケ谷区,595286,0.146,4.7
14111,横浜市港南区,548630,0.131,8.6
14107,横浜市磯子区,491798,0.171,7.4
14112,横浜市旭区,460613,0.104,9.7
14110,横浜市戸塚区,445486,0.098,11.0
14108,横浜市金沢区,443170,0.117,11.7
14205,藤沢市,434679,0.054,18.8
14101,横浜市鶴見区,421655,0.084,6.6
14201,横須賀市,403776,0.061,22.3
13111,大田区,369929,0.034,14.2
13112,世田谷区,343512,0.024,20.1
14118,横浜市都筑区,315776,0.082,10.9
14133,川崎市中原区,309930,0.075,13.3
14116,横浜市泉区,276528,0.104,12.9
14117,横浜市青葉区,252758,0.057,15.6
14134,川崎市高津区,244927,0.047,15.0
14115,横浜市栄区,239336,0.111,12.2
14204,鎌倉市,233409,0.068,15.7
13209,町田市,222953,0.029,21.1
14213,大和市,221973,0.049,16.5
14207,茅ヶ崎市,214725,0.050,23.9
14113,横浜市緑区,204783,0.078,12.7
14132,川崎市幸区,194527,0.054,10.5
13120,練馬区,177214,0.016,32.2
14114,横浜市瀬谷区,174459,0.084,13.4
14131,川崎市川崎区,165142,0.050,10.2
13109,品川区,160297,0.027,19.3
14203,平塚市,155503,0.036,30.6
14153,相模原市南区,146519,0.036,22.2
13110,目黒区,141231,0.037,20.4
14206,小田原市,140218,0.027,52.0
14152,相模原市中央区,135588,0.032,26.6
13115,杉並区,129613,0.016,27.0
13201,八王子市,105404,0.013,40.5
13103,港区,105357,0.018,23.9
12204,船橋市,103845,0.009,45.9
13119,板橋区,103251,0.013,35.0
13121,足立区,102058,0.010,38.6
14135,川崎市多摩区,98700,0.031,19.5
14136,川崎市宮前区,96849,0.038,15.3
13204,三鷹市,96158,0.016,26.1
14215,海老名市,95558,0.042,22.3
14216,座間市,91731,0.035,20.7
13123,江戸川区,90861,0.010,34.6
14212,厚木市,89733,0.030,28.1
14218,綾瀬市,89582,0.041,18.9
13108,江東区,87832,0.013,26.5
13122,葛飾区,81252,0.012,38.4
11203,川口市,74904,0.009,42.8
13104,新宿区,73325,0.016,28.2
13117,北区,68781,0.014,35.5
13114,中野区,67023,0.016,28.0
13116,豊島区,65752,0.015,31.0
14211,秦野市,63958,0.028,39.7
12203,市川市,63538,0.009,38.9
14208,逗子市,62156,0.071,18.2
13107,墨田区,61263,0.014,33.2
14137,川崎市麻生区,58433,0.028,19.6
13206,府中市,57487,0.015,27.6
13113,渋谷区,51310,0.017,24.0
12207,松戸市,51109,0.008,47.1
09201,宇都宮市,51062,0.006,128.9
13105,文京区,50496,0.018,30.7
13208,調布市,50382,0.014,24.1
12221,八千代市,45664,0.009,52.6
11208,所沢市,44054,0.013,41.7
14151,相模原市緑区,42249,0.021,38.5
13203,武蔵野市,41999,0.014,28.8
12217,柏市,41185,0.008,55.0
13118,荒川区,35109,0.013,34.2
14210,三浦市,33602,0.046,31.4
13211,小平市,32400,0.014,33.4
11222,越谷市,32289,0.008,52.2
14214,伊勢原市,31880,0.027,31.0
13224,多摩市,31512,0.014,25.8
12102,千葉市花見川区,30887,0.009,48.4
13106,台東区,30425,0.010,31.6
11215,狭山市,29910,0.012,49.2
13202,立川市,28580,0.010,35.0
14301,三浦郡葉山町,28541,0.060,20.6
11201,川越市,28299,0.008,51.2
13219,狛江市,26959,0.020,20.6
13229,西東京市,26682,0.012,32.2
13225,稲城市,26471,0.020,23.2
08224,守谷市,26313,0.010,62.4
11108,さいたま市南区,25779,0.010,43.6
11107,さいたま市浦和区,24907,0.011,46.5
13212,日野市,24622,0.012,31.4
11227,朝霞市,24344,0.014,39.2
12219,市原市,23416,0.008,46.5
11221,草加市,23122,0.008,45.1
11219,上尾市,23104,0.008,57.1
13222,東久留米市,22682,0.010,34.7
22203,沼津市,22123,0.010,80.8
13102,中央区,20701,0.011,27.7
09203,栃木市,20545,0.007,99.4
11104,さいたま市見沼区,20399,0.008,52.7
22101,静岡市葵区,20069,0.007,127.4
12101,千葉市中央区,19752,0.009,47.9
11224,戸田市,18835,0.011,40.1
22210,富士市,18738,0.007,85.9
13210,小金井市,18246,0.013,29.5
12216,習志野市,18135,0.010,43.8
10201,前橋市,17490,0.005,118.5
12106,千葉市美浜区,17347,0.009,43.4
11214,春日部市,17164,0.007,60.5
13214,国分寺市,17048,0.011,31.9
13213,東村山市,16918,0.010,36.8
22102,静岡市駿河区,16589,0.007,127.7
11202,熊谷市,16448,0.007,82.2
11230,新座市,15998,0.009,37.7
12220,流山市,15967,0.007,53.0
10202,高崎市,15883,0.004,113.6
12227,浦安市,15712,0.009,32.5
20201,長野市,15621,0.004,189.2
10205,太田市,15293,0.006,98.2
12206,木更津市,15232,0.011,30.1
11103,さいたま市大宮区,15021,0.010,50.1
08220,つくば市,14998,0.006,81.2
20202,松本市,14705,0.004,180.3
12212,佐倉市,14674,0.008,61.5
11225,入間市,14648,0.010,47.0
14321,高座郡寒川町,14611,0.026,24.1
17201,金沢市,14458,0.002,287.7
11229,和光市,14144,0.015,37.1
22103,静岡市清水区,13924,0.005,112.1
04101,仙台市青葉区,13837,0.004,333.9
12103,千葉市稲毛区,13776,0.008,47.8
22206,三島市,13641,0.011,72.5
11245,ふじみ野市,13483,0.009,47.0
11102,さいたま市北区,13227,0.008,53.9
23211,豊田市,13148,0.003,216.4
11232,久喜市,13101,0.008,70.2
12222,我孫子市,13026,0.009,59.9
07203,郡山市,13024,0.003,228.7
14341,中郡大磯町,13013,0.034,34.8
19201,甲府市,12824,0.006,99.7
22131,浜松市中区,12733,0.004,191.9
16201,富山市,12607,0.002,247.2
28204,西宮市,12389,0.002,399.8
11106,さいたま市桜区,12313,0.011,45.0
08208,龍ケ崎市,11876,0.007,75.2
11237,三郷市,11542,0.008,46.1
