コード,市区町村名,人数,獲得比率,距離
12222,我孫子市,3689,0.002,59.9
11210,加須市,3654,0.003,76.4
11234,八潮市,3606,0.003,44.8
14217,南足柄市,3503,0.007,53.6
29201,奈良市,3466,0.001,353.3
10205,太田市,3427,0.001,98.2
27203,豊中市,3417,0.001,386.2
12229,袖ケ浦市,3380,0.005,36.2
12104,千葉市若葉区,3379,0.002,54.5
12225,君津市,3354,0.003,41.4
11110,さいたま市岩槻区,3352,0.003,54.4
22210,富士市,3348,0.001,85.9
08224,守谷市,3348,0.004,62.4
23203,一宮市,3339,0.001,257.8
11239,坂戸市,3333,0.003,60.0
28204,西宮市,3302,0.001,399.8
13228,あきる野市,3223,0.004,49.0
19201,甲府市,3190,0.002,99.7
09208,小山市,3161,0.002,95.4
11217,鴻巣市,3107,0.002,70.1
11243,吉川市,3075,0.004,53.2
22131,浜松市中区,3053,0.001,191.9
08232,神栖市,3005,0.001,107.9
04101,仙台市青葉区,2868,0.001,333.9
22206,三島市,2837,0.002,72.5
11212,東松山市,2814,0.003,68.6
26103,京都市左京区,2788,0.001,348.8
11231,桶川市,2619,0.003,61.1
08217,取手市,2567,0.002,64.1
23115,名古屋市名東区,2564,0.001,240.5
22214,藤枝市,2563,0.002,140.4
23211,豊田市,2551,0.001,216.4
09203,栃木市,2524,0.001,99.4
17201,金沢市,2522,0.000,287.7
13218,福生市,2488,0.004,41.0
11209,飯能市,2487,0.003,62.6
22215,御殿場市,2465,0.002,69.7
11218,深谷市,2387,0.002,87.3
28111,神戸市西区,2362,0.001,429.5
23116,名古屋市天白区,2333,0.001,243.5
08203,土浦市,2278,0.001,87.7
11238,蓮田市,2273,0.003,60.5
12231,印西市,2256,0.002,61.8
22205,熱海市,2255,0.005,66.7
23201,豊橋市,2245,0.001,218.0
07203,郡山市,2231,0.000,228.7
08204,古河市,2138,0.001,81.7
20202,松本市,2114,0.001,180.3
27205,吹田市,2108,0.001,382.0
23101,名古屋市千種区,2063,0.001,245.0
27207,高槻市,2045,0.000,371.5
27128,大阪市中央区,2027,0.001,384.7
22220,裾野市,2025,0.003,75.8
23202,岡崎市,2012,0.000,223.3
08219,牛久市,1977,0.002,74.9
11241,鶴ヶ島市,1975,0.002,57.7
19210,甲斐市,1974,0.002,105.2
28202,尼崎市,1965,0.000,392.5
01101,札幌市中央区,1965,0.001,855.9
12228,四街道市,1959,0.002,54.6
40133,福岡市中央区,1946,0.001,872.2
11246,白岡市,1937,0.003,63.1
09202,足利市,1927,0.001,101.7
23106,名古屋市中区,1923,0.002,249.5
15103,新潟市中央区,1916,0.001,277.9
14361,足柄上郡中井町,1891,0.009,40.1
14382,足柄下郡箱根町,1875,0.011,58.8
22212,焼津市,1874,0.001,138.8
07204,いわき市,1867,0.001,210.4
27210,枚方市,1846,0.000,366.1
21201,岐阜市,1843,0.000,257.7
09206,日光市,1841,0.002,154.8
33202,倉敷市,1839,0.000,544.6
12232,白井市,1838,0.003,54.8
24202,四日市市,1813,0.000,285.4
23105,名古屋市中村区,1802,0.001,253.6
27114,大阪市東淀川区,1788,0.000,381.7
22342,駿東郡長泉町,1770,0.004,76.1
27211,茨木市,1767,0.001,377.9
28201,姫路市,1765,0.000,455.2
23205,半田市,1758,0.001,254.6
12205,館山市,1718,0.003,56.9
10204,伊勢崎市,1703,0.001,104.3
11233,北本市,1688,0.002,64.1
27215,寝屋川市,1686,0.000,372.7
16201,富山市,1682,0.000,247.2
12230,八街市,1681,0.002,62.9
22208,伊東市,1675,0.002,75.1
28101,神戸市東灘区,1659,0.001,405.3
15225,魚沼市,1644,0.002,196.7
11240,幸手市,1642,0.003,69.4
13227,羽村市,1634,0.003,44.8
12210,茂原市,1633,0.002,59.8
01105,札幌市豊平区,1632,0.001,851.5
01102,札幌市北区,1594,0.000,865.4
15202,長岡市,1566,0.000,235.4
40134,福岡市南区,1553,0.000,871.0
23210,刈谷市,1537,0.001,243.7
40203,久留米市,1535,0.000,868.0
43101,熊本市中央区,1535,0.000,871.4
22207,富士宮市,1533,0.001,93.6
28214,宝塚市,1532,0.000,397.8
14366,足柄上郡開成町,1527,0.006,48.1
08221,ひたちなか市,1522,0.001,133.2
28203,明石市,1512,0.000,436.4
46201,鹿児島市,1511,0.000,953.4
12223,鴨川市,1505,0.004,53.2
22133,浜松市西区,1473,0.001,199.7
11206,行田市,1469,0.002,78.0
25201,大津市,1446,0.000,343.9
27227,東大阪市,1427,0.000,376.1
28110,神戸市中央区,1426,0.001,413.3
14363,足柄上郡松田町,1419,0.012,46.9
19212,上野原市,1417,0.006,55.0
26108,京都市右京区,1415,0.001,365.4
14384,足柄下郡湯河原町,1414,0.005,59.9
27127,大阪市北区,1404,0.001,385.6
06201,山形市,1387,0.000,316.7
09213,那須塩原市,1380,0.001,172.8
27219,和泉市,1374,0.000,395.5
42201,長崎市,1367,0.000,946.3
23112,名古屋市南区,1362,0.001,249.5
23206,春日井市,1354,0.000,238.6
20201,長野市,1328,0.000,189.2
23220,稲沢市,1306,0.001,261.6
26110,京都市山科区,1305,0.001,350.3
24201,津市,1302,0.000,311.4
37201,高松市,1299,0.000,526.7
40131,福岡市東区,1294,0.000,863.9
23114,名古屋市緑区,1292,0.000,245.4
40137,福岡市早良区,1290,0.000,878.7
22211,磐田市,1289,0.001,179.2
09361,下都賀郡壬生町,1284,0.001,111.9
27118,大阪市城東区,1272,0.001,381.5
23110,名古屋市中川区,1266,0.001,256.3
08202,日立市,1246,0.001,155.1
11216,羽生市,1231,0.002,80.2
33101,岡山市北区,1221,0.000,530.2
27111,大阪市浪速区,1199,0.001,387.0
08222,鹿嶋市,1199,0.002,107.2
23207,豊川市,1194,0.001,218.7
23212,安城市,1185,0.001,240.4
19211,笛吹市,1185,0.002,87.6
27212,八尾市,1173,0.000,377.6
23104,名古屋市西区,1164,0.001,250.8
08235,つくばみらい市,1162,0.002,69.1
23222,東海市,1159,0.001,252.7
38201,松山市,1154,0.000,650.5
12239,大網白里市,1145,0.002,63.0
11464,北葛飾郡杉戸町,1144,0.002,64.8
22209,島田市,1144,0.001,151.7
47201,那覇市,1140,0.000,1532.8
19206,大月市,1139,0.003,67.0
23111,名古屋市港区,1137,0.001,258.2
01204,旭川市,1125,0.000,950.9
27117,大阪市旭区,1119,0.001,381.2
23113,名古屋市守山区,1090,0.001,240.6
04105,仙台市泉区,1085,0.000,338.5
11211,本庄市,1080,0.001,94.2
09209,真岡市,1079,0.001,112.4
11465,北葛飾郡松伏町,1063,0.003,56.1
07201,福島市,1057,0.000,269.5
09205,鹿沼市,1055,0.001,125.9
43105,熊本市北区,1043,0.000,870.7
27220,箕面市,1032,0.001,382.9
23108,名古屋市瑞穂区,1031,0.001,247.5
26214,木津川市,1021,0.001,352.6
25207,守山市,1020,0.001,335.8
23107,名古屋市昭和区,1001,0.001,247.0
26106,京都市下京区,994,0.001,356.8
04104,仙台市太白区,993,0.000,324.8
23103,名古屋市北区,984,0.000,248.5
34207,福山市,978,0.000,581.6
22134,浜松市南区,977,0.001,190.8
10203,桐生市,976,0.001,114.1
11207,秩父市,974,0.002,96.4
09210,大田原市,962,0.001,162.0
08205,石岡市,957,0.001,99.2
08236,小美玉市,956,0.002,106.7
10207,館林市,941,0.001,88.4
11326,入間郡毛呂山町,940,0.002,61.5
23236,みよし市,932,0.001,233.5
03201,盛岡市,922,0.000,498.1
22325,田方郡函南町,916,0.002,68.3
40132,福岡市博多区,914,0.000,866.8
11343,比企郡小川町,895,0.002,74.1
20203,上田市,895,0.000,163.4
12236,香取市,890,0.001,94.0
23230,日進市,887,0.001,236.9
09216,下野市,885,0.001,108.7
14364,足柄上郡山北町,883,0.004,56.4
11301,北足立郡伊奈町,879,0.002,60.3
25206,草津市,879,0.001,339.8
27120,大阪市住吉区,872,0.001,387.7
08227,筑西市,863,0.001,97.5
28206,芦屋市,863,0.000,402.1
11242,日高市,857,0.002,56.1
09204,佐野市,857,0.001,107.7
01103,札幌市東区,848,0.000,865.3
23109,名古屋市熱田区,839,0.001,251.6
27123,大阪市淀川区,836,0.000,387.1
27119,大阪市阿倍野区,834,0.001,386.4
21213,各務原市,830,0.000,249.0
28108,神戸市垂水区,829,0.000,425.7
15102,新潟市東区,824,0.000,278.6
04102,仙台市宮城野区,820,0.000,335.0
44201,大分市,812,0.000,778.4
23223,大府市,810,0.001,247.5
13303,西多摩郡瑞穂町,808,0.002,43.3
05201,秋田市,804,0.000,469.7
24207,鈴鹿市,798,0.000,286.1
