コード,市区町村名,人数,獲得比率,距離
14109,横浜市港北区,900781,0.107,7.8
14102,横浜市神奈川区,786487,0.136,3.5
14103,横浜市西区,703827,0.234,1.3
14104,横浜市中区,648952,0.191,3.8
14105,横浜市南区,633783,0.131,4.8
14106,横浜市保土ケ谷区,484546,0.101,4.7
13112,世田谷区,449577,0.023,20.1
14205,藤沢市,404811,0.039,18.8
14111,横浜市港南区,403357,0.091,8.6
14110,横浜市戸塚区,379832,0.078,11.0
14107,横浜市磯子区,340194,0.107,7.4
14112,横浜市旭区,329916,0.070,9.7
14117,横浜市青葉区,313791,0.048,15.6
14101,横浜市鶴見区,293157,0.060,6.6
13111,大田区,276810,0.027,14.2
14108,横浜市金沢区,260799,0.074,11.7
14133,川崎市中原区,245944,0.052,13.3
14201,横須賀市,233676,0.039,22.3
14118,横浜市都筑区,232657,0.061,10.9
14204,鎌倉市,220852,0.058,15.7
14113,横浜市緑区,196206,0.057,12.7
14115,横浜市栄区,176699,0.074,12.2
14116,横浜市泉区,176041,0.063,12.9
13209,町田市,159262,0.022,21.1
14207,茅ヶ崎市,158233,0.031,23.9
14132,川崎市幸区,143126,0.046,10.5
14114,横浜市瀬谷区,140367,0.056,13.4
14134,川崎市高津区,132369,0.038,15.0
13120,練馬区,130121,0.013,32.2
13109,品川区,126613,0.021,19.3
14213,大和市,121211,0.033,16.5
14153,相模原市南区,108027,0.027,22.2
13115,杉並区,107278,0.014,27.0
14136,川崎市宮前区,107044,0.031,15.3
13201,八王子市,101311,0.009,40.5
14131,川崎市川崎区,101301,0.033,10.2
13110,目黒区,99410,0.027,20.4
13119,板橋区,86202,0.012,35.0
14135,川崎市多摩区,85989,0.026,19.5
14203,平塚市,84297,0.023,30.6
13121,足立区,83773,0.008,38.6
14215,海老名市,80428,0.031,22.3
14152,相模原市中央区,76757,0.021,26.6
14206,小田原市,75171,0.019,52.0
13123,江戸川区,75002,0.009,34.6
11203,川口市,72895,0.008,42.8
13108,江東区,72643,0.010,26.5
13118,荒川区,68252,0.011,34.2
12204,船橋市,68216,0.007,45.9
12203,市川市,65509,0.009,38.9
13122,葛飾区,64824,0.009,38.4
14137,川崎市麻生区,60610,0.022,19.6
14214,伊勢原市,60286,0.023,31.0
14212,厚木市,57884,0.017,28.1
14216,座間市,55773,0.027,20.7
13104,新宿区,50768,0.013,28.2
13103,港区,48998,0.015,23.9
13113,渋谷区,48450,0.013,24.0
13105,文京区,46999,0.017,30.7
14218,綾瀬市,46132,0.026,18.9
14208,逗子市,45907,0.047,18.2
13114,中野区,44483,0.011,28.0
13116,豊島区,43781,0.012,31.0
14211,秦野市,43591,0.018,39.7
13117,北区,43196,0.009,35.5
12207,松戸市,40522,0.007,47.1
13208,調布市,36561,0.011,24.1
13106,台東区,36179,0.012,31.6
13107,墨田区,34765,0.010,33.2
09201,宇都宮市,31775,0.004,128.9
13206,府中市,30674,0.009,27.6
11107,さいたま市浦和区,29861,0.010,46.5
11222,越谷市,29094,0.007,52.2
12227,浦安市,28966,0.011,32.5
13102,中央区,28779,0.013,27.7
11208,所沢市,28400,0.007,41.7
14151,相模原市緑区,27370,0.013,38.5
12217,柏市,27231,0.006,55.0
13229,西東京市,26692,0.012,32.2
11230,新座市,25209,0.009,37.7
13202,立川市,23390,0.009,35.0
12221,八千代市,23204,0.006,52.6
12102,千葉市花見川区,23193,0.006,48.4
13204,三鷹市,22836,0.011,26.1
11221,草加市,22006,0.006,45.1
11201,川越市,21775,0.006,51.2
13225,稲城市,21762,0.013,23.2
14301,三浦郡葉山町,21647,0.036,20.6
14321,高座郡寒川町,21556,0.024,24.1
12216,習志野市,20162,0.008,43.8
11103,さいたま市大宮区,20039,0.008,50.1
11108,さいたま市南区,19176,0.008,43.6
11229,和光市,18896,0.015,37.1
14210,三浦市,18760,0.032,31.4
13212,日野市,18740,0.009,31.4
11238,蓮田市,18376,0.009,60.5
13224,多摩市,18140,0.010,25.8
11228,志木市,17947,0.014,42.8
13203,武蔵野市,17874,0.010,28.8
11227,朝霞市,16970,0.010,39.2
13211,小平市,16654,0.008,33.4
13214,国分寺市,16573,0.011,31.9
12219,市原市,16572,0.005,46.5
13210,小金井市,15615,0.010,29.5
12212,佐倉市,15439,0.005,61.5
11109,さいたま市緑区,14478,0.009,48.4
10202,高崎市,14201,0.004,113.6
22210,富士市,13815,0.005,85.9
08220,つくば市,13396,0.005,81.2
11215,狭山市,12978,0.004,49.2
13213,東村山市,12789,0.007,36.8
12101,千葉市中央区,12760,0.006,47.9
13219,狛江市,12708,0.012,20.6
11239,坂戸市,12585,0.006,60.0
11245,ふじみ野市,12483,0.008,47.0
12220,流山市,12440,0.006,53.0
11225,入間市,12393,0.007,47.0
11104,さいたま市見沼区,12243,0.006,52.7
13222,東久留米市,12243,0.007,34.7
11235,富士見市,12218,0.010,45.2
08208,龍ケ崎市,11976,0.006,75.2
12103,千葉市稲毛区,11851,0.006,47.8
11214,春日部市,11846,0.005,60.5
22103,静岡市清水区,11738,0.005,112.1
13205,青梅市,11652,0.006,52.3
22203,沼津市,11601,0.006,80.8
13221,清瀬市,11140,0.009,37.8
14341,中郡大磯町,11012,0.023,34.8
11102,さいたま市北区,10912,0.007,53.9
11219,上尾市,10906,0.005,57.1
22101,静岡市葵区,10895,0.004,127.4
10201,前橋市,10842,0.003,118.5
19201,甲府市,10671,0.004,99.7
22102,静岡市駿河区,10496,0.005,127.7
11234,八潮市,10437,0.009,44.8
12206,木更津市,10407,0.007,30.1
14361,足柄上郡中井町,10315,0.015,40.1
08201,水戸市,10236,0.003,124.2
20201,長野市,10081,0.002,189.2
13215,国立市,10051,0.011,31.2
11224,戸田市,10010,0.007,40.1
12106,千葉市美浜区,10008,0.006,43.4
17201,金沢市,9915,0.002,287.7
23202,岡崎市,9804,0.002,223.3
04101,仙台市青葉区,9762,0.003,333.9
20202,松本市,9494,0.004,180.3
13207,昭島市,9390,0.007,37.3
11202,熊谷市,9290,0.004,82.2
22131,浜松市中区,9218,0.003,191.9
23211,豊田市,8563,0.002,216.4
11105,さいたま市中央区,8494,0.008,47.0
12222,我孫子市,8405,0.006,59.9
11217,鴻巣市,8266,0.006,70.1
23201,豊橋市,8209,0.002,218.0
08204,古河市,8193,0.004,81.7
10205,太田市,8081,0.003,98.2
07204,いわき市,7993,0.002,210.4
16201,富山市,7974,0.002,247.2
10204,伊勢崎市,7955,0.003,104.3
13101,千代田区,7943,0.009,27.7
09208,小山市,7918,0.004,95.4
21201,岐阜市,7853,0.002,257.7
12224,鎌ケ谷市,7694,0.007,47.8
11223,蕨市,7647,0.009,41.2
12104,千葉市若葉区,7529,0.005,54.5
12208,野田市,7487,0.004,64.3
14342,中郡二宮町,7370,0.024,38.5
14401,愛甲郡愛川町,7363,0.014,31.3
12105,千葉市緑区,7339,0.005,57.0
29201,奈良市,7272,0.001,353.3
11106,さいたま市桜区,7240,0.007,45.0
13220,東大和市,7188,0.008,37.7
23113,名古屋市守山区,7186,0.002,240.6
07203,郡山市,7184,0.002,228.7
06201,山形市,7160,0.002,316.7
11232,久喜市,7050,0.004,70.2
22206,三島市,7036,0.006,72.5
22215,御殿場市,7005,0.007,69.7
22207,富士宮市,6972,0.005,93.6
11241,鶴ヶ島市,6946,0.008,57.7
11209,飯能市,6912,0.006,62.6
23203,一宮市,6832,0.002,257.8
15202,長岡市,6714,0.002,235.4
23206,春日井市,6559,0.002,238.6
08221,ひたちなか市,6509,0.004,133.2
14366,足柄上郡開成町,6504,0.019,48.1
46201,鹿児島市,6481,0.001,953.4
08203,土浦市,6466,0.004,87.7
14384,足柄下郡湯河原町,6464,0.012,59.9
28204,西宮市,6461,0.001,399.8
09203,栃木市,6448,0.003,99.4
12228,四街道市,6412,0.006,54.6
11237,三郷市,6394,0.004,46.1
11218,深谷市,6122,0.004,87.3
