コード,市区町村名,人数,獲得比率,距離
22205,熱海市,1732503,0.787,2.7
22208,伊東市,477029,0.248,17.8
22203,沼津市,257314,0.058,18.7
22206,三島市,257092,0.076,12.7
14384,足柄下郡湯河原町,203567,0.251,7.4
14206,小田原市,184608,0.038,17.1
13112,世田谷区,133985,0.010,77.9
22325,田方郡函南町,124682,0.107,7.0
22210,富士市,104976,0.028,35.2
14205,藤沢市,103193,0.016,45.2
13111,大田区,100891,0.010,77.3
14203,平塚市,83613,0.018,35.8
13120,練馬区,81344,0.008,86.6
22342,駿東郡長泉町,76556,0.066,19.7
13115,杉並区,76268,0.009,82.8
14207,茅ヶ崎市,74796,0.018,40.4
22225,伊豆の国市,69938,0.060,12.1
13109,品川区,65872,0.012,81.6
13108,江東区,59344,0.008,89.5
14109,横浜市港北区,59134,0.012,68.3
13119,板橋区,58746,0.007,92.1
22101,静岡市葵区,58575,0.017,78.8
13209,町田市,57840,0.009,60.8
13121,足立区,56730,0.006,99.2
22103,静岡市清水区,56538,0.018,53.7
14110,横浜市戸塚区,54939,0.014,53.0
13123,江戸川区,54322,0.006,98.1
22102,静岡市駿河区,54022,0.021,66.4
14201,横須賀市,52988,0.010,58.0
11203,川口市,52819,0.006,100.2
13201,八王子市,49048,0.007,63.9
22341,駿東郡清水町,45015,0.060,16.3
14101,横浜市鶴見区,44772,0.011,69.9
13117,北区,43979,0.009,94.6
13122,葛飾区,43830,0.007,100.6
12204,船橋市,43039,0.005,109.9
13110,目黒区,42110,0.011,81.4
13104,新宿区,41913,0.009,88.1
12203,市川市,41773,0.006,102.5
14204,鎌倉市,41590,0.017,49.9
14153,相模原市南区,41517,0.011,55.6
14102,横浜市神奈川区,40414,0.012,65.0
14117,横浜市青葉区,40111,0.010,64.7
13114,中野区,39107,0.008,86.0
12207,松戸市,37759,0.005,110.0
14213,大和市,37673,0.012,53.3
14105,横浜市南区,36728,0.012,59.3
22207,富士宮市,36726,0.021,46.8
13103,港区,36690,0.011,85.8
14106,横浜市保土ケ谷区,36688,0.013,61.1
14211,秦野市,36390,0.015,35.2
14111,横浜市港南区,35625,0.012,55.8
14383,足柄下郡真鶴町,35564,0.160,8.2
22222,伊豆市,35014,0.045,25.1
14133,川崎市中原区,34353,0.010,73.9
13116,豊島区,33348,0.008,89.9
14108,横浜市金沢区,33045,0.012,56.7
14131,川崎市川崎区,32125,0.011,74.1
14135,川崎市多摩区,31635,0.011,71.9
13107,墨田区,31313,0.008,95.5
14112,横浜市旭区,31119,0.009,58.4
14212,厚木市,30849,0.011,45.6
13105,文京区,30771,0.010,91.0
13113,渋谷区,30420,0.009,83.8
14113,横浜市緑区,29406,0.012,60.6
14152,相模原市中央区,29376,0.008,57.6
14134,川崎市高津区,28741,0.009,72.6
14107,横浜市磯子区,28554,0.013,58.7
22301,賀茂郡東伊豆町,28344,0.136,31.4
13106,台東区,28338,0.009,93.2
14115,横浜市栄区,27701,0.016,53.0
22219,下田市,27193,0.093,46.7
14132,川崎市幸区,26593,0.011,73.1
13118,荒川区,26543,0.008,95.2
14217,南足柄市,26400,0.026,23.1
14116,横浜市泉区,26170,0.012,52.0
13208,調布市,25956,0.008,75.1
13204,三鷹市,25579,0.010,77.9
22131,浜松市中区,25435,0.009,130.5
14104,横浜市中区,24356,0.012,63.4
14118,横浜市都筑区,24325,0.010,66.4
22220,裾野市,23201,0.030,26.1
14136,川崎市宮前区,22928,0.008,70.3
12217,柏市,22675,0.004,117.7
13206,府中市,22199,0.007,73.5
14137,川崎市麻生区,21960,0.010,67.0
13102,中央区,21936,0.009,89.8
13229,西東京市,21244,0.008,82.1
11222,越谷市,20889,0.004,110.4
14215,海老名市,20574,0.011,46.8
22212,焼津市,20206,0.012,76.2
22214,藤枝市,19881,0.012,79.2
11219,上尾市,19820,0.006,106.6
11201,川越市,18698,0.004,95.8
13203,武蔵野市,18503,0.009,80.2
11107,さいたま市浦和区,18462,0.008,100.2
13211,小平市,18275,0.006,78.1
11208,所沢市,18267,0.005,85.2
13213,東村山市,18000,0.006,80.9
23201,豊橋市,17764,0.004,158.0
14114,横浜市瀬谷区,17108,0.011,55.1
13212,日野市,16822,0.007,69.1
13214,国分寺市,16605,0.007,75.4
13224,多摩市,16540,0.008,67.7
22211,磐田市,16207,0.008,117.6
22215,御殿場市,16135,0.014,26.5
14214,伊勢原市,16056,0.012,39.4
14103,横浜市西区,16026,0.011,63.1
22213,掛川市,15989,0.011,103.6
11102,さいたま市北区,15644,0.008,105.1
11221,草加市,15533,0.005,104.8
11104,さいたま市見沼区,15278,0.006,106.1
12216,習志野市,15233,0.006,107.8
11108,さいたま市南区,15131,0.006,97.4
14216,座間市,14878,0.008,52.7
09201,宇都宮市,14818,0.002,181.3
14151,相模原市緑区,13836,0.007,54.2
10202,高崎市,13779,0.003,137.7
11230,新座市,13376,0.006,87.9
14218,綾瀬市,13110,0.012,48.9
13210,小金井市,13076,0.007,77.1
22209,島田市,12509,0.011,91.4
12227,浦安市,12349,0.006,96.4
23202,岡崎市,12325,0.003,166.7
11237,三郷市,11709,0.005,107.6
11105,さいたま市中央区,11594,0.008,99.2
11103,さいたま市大宮区,11203,0.007,102.0
11214,春日部市,11128,0.004,116.7
12101,千葉市中央区,11074,0.004,110.3
23206,春日井市,10994,0.003,188.6
11224,戸田市,10953,0.006,94.8
12219,市原市,10945,0.002,102.0
14341,中郡大磯町,10929,0.021,30.6
23211,豊田市,10927,0.002,163.3
23101,名古屋市千種区,10870,0.005,192.9
12220,流山市,10860,0.004,114.6
13202,立川市,10759,0.004,74.2
14363,足柄上郡松田町,10725,0.025,32.2
22302,賀茂郡河津町,10386,0.108,38.0
22134,浜松市南区,10371,0.008,128.7
13222,東久留米市,10288,0.007,82.5
13219,狛江市,10214,0.009,74.3
12106,千葉市美浜区,10214,0.005,107.0
13361,大島町,10150,0.083,50.3
14321,高座郡寒川町,10006,0.016,41.4
22132,浜松市東区,9895,0.007,124.9
11232,久喜市,9627,0.005,121.5
14208,逗子市,9540,0.013,50.9
21201,岐阜市,9299,0.002,211.1
23203,一宮市,9282,0.002,208.5
