コード,市区町村名,人数,獲得比率,距離
22205,熱海市,2042217,0.834,2.7
22208,伊東市,440700,0.185,17.8
14384,足柄下郡湯河原町,208225,0.256,7.4
22206,三島市,199280,0.051,12.7
22203,沼津市,178659,0.036,18.7
14206,小田原市,153538,0.030,17.1
22325,田方郡函南町,133466,0.084,7.0
22342,駿東郡長泉町,81761,0.049,19.7
14383,足柄下郡真鶴町,74927,0.233,8.2
13111,大田区,71483,0.007,77.3
13112,世田谷区,70579,0.006,77.9
14205,藤沢市,61883,0.010,45.2
22210,富士市,61528,0.013,35.2
14207,茅ヶ崎市,56925,0.011,40.4
22225,伊豆の国市,55622,0.042,12.1
13109,品川区,54556,0.008,81.6
14203,平塚市,53164,0.011,35.8
13120,練馬区,50062,0.005,86.6
13115,杉並区,47411,0.006,82.8
22103,静岡市清水区,44345,0.011,53.7
14211,秦野市,43021,0.011,35.2
13104,新宿区,41840,0.007,88.1
22102,静岡市駿河区,39420,0.012,66.4
13121,足立区,39185,0.004,99.2
13108,江東区,37370,0.005,89.5
14109,横浜市港北区,37251,0.008,68.3
22101,静岡市葵区,34647,0.010,78.8
13209,町田市,34647,0.005,60.8
13201,八王子市,33756,0.004,63.9
13123,江戸川区,33684,0.003,98.1
14204,鎌倉市,33101,0.010,49.9
14110,横浜市戸塚区,32349,0.009,53.0
13119,板橋区,31746,0.004,92.1
22301,賀茂郡東伊豆町,31714,0.132,31.4
11203,川口市,31033,0.003,100.2
14111,横浜市港南区,31029,0.008,55.8
22215,御殿場市,30968,0.012,26.5
13113,渋谷区,30557,0.008,83.8
14102,横浜市神奈川区,30419,0.009,65.0
13117,北区,30409,0.006,94.6
13110,目黒区,29903,0.008,81.4
14213,大和市,29256,0.007,53.3
14101,横浜市鶴見区,29135,0.006,69.9
13103,港区,27936,0.008,85.8
12203,市川市,27793,0.003,102.5
14117,横浜市青葉区,27024,0.006,64.7
22219,下田市,26330,0.071,46.7
14133,川崎市中原区,26121,0.007,73.9
13122,葛飾区,26021,0.004,100.6
13114,中野区,26017,0.005,86.0
13105,文京区,24681,0.008,91.0
14217,南足柄市,24504,0.015,23.1
14201,横須賀市,24132,0.004,58.0
14105,横浜市南区,24128,0.008,59.3
14112,横浜市旭区,24061,0.007,58.4
14153,相模原市南区,23256,0.006,55.6
12204,船橋市,23118,0.003,109.9
12207,松戸市,22880,0.003,110.0
13116,豊島区,22373,0.006,89.9
13106,台東区,22352,0.007,93.2
22341,駿東郡清水町,21639,0.031,16.3
14106,横浜市保土ケ谷区,20931,0.008,61.1
14152,相模原市中央区,20905,0.005,57.6
14137,川崎市麻生区,20804,0.006,67.0
14131,川崎市川崎区,19794,0.006,74.1
22222,伊豆市,19785,0.026,25.1
13107,墨田区,19175,0.005,95.5
14107,横浜市磯子区,19090,0.009,58.7
22220,裾野市,18745,0.019,26.1
22207,富士宮市,18510,0.011,46.8
22131,浜松市中区,17546,0.005,130.5
13102,中央区,17534,0.008,89.8
14135,川崎市多摩区,17153,0.006,71.9
14212,厚木市,16699,0.006,45.6
13118,荒川区,16592,0.005,95.2
14132,川崎市幸区,16541,0.007,73.1
13208,調布市,16520,0.005,75.1
14118,横浜市都筑区,16064,0.006,66.4
14134,川崎市高津区,15990,0.005,72.6
12217,柏市,15826,0.003,117.7
14104,横浜市中区,15604,0.008,63.4
13206,府中市,14799,0.004,73.5
14108,横浜市金沢区,14771,0.006,56.7
22214,藤枝市,14454,0.007,79.2
14136,川崎市宮前区,14062,0.005,70.3
14116,横浜市泉区,13668,0.007,52.0
14113,横浜市緑区,13110,0.006,60.6
14115,横浜市栄区,12974,0.008,53.0
22212,焼津市,12704,0.007,76.2
14103,横浜市西区,11465,0.008,63.1
13204,三鷹市,10755,0.004,77.9
14215,海老名市,10402,0.006,46.8
13224,多摩市,10370,0.005,67.7
22211,磐田市,10032,0.004,117.6
13203,武蔵野市,9842,0.004,80.2
11201,川越市,9811,0.002,95.8
11222,越谷市,9656,0.002,110.4
11208,所沢市,9553,0.002,85.2
12227,浦安市,9504,0.004,96.4
22302,賀茂郡河津町,9432,0.094,38.0
13229,西東京市,9215,0.003,82.1
14342,中郡二宮町,9193,0.018,27.7
13214,国分寺市,9120,0.005,75.4
13211,小平市,9089,0.004,78.1
14214,伊勢原市,8802,0.007,39.4
11108,さいたま市南区,8722,0.003,97.4
23201,豊橋市,8482,0.002,158.0
14151,相模原市緑区,8178,0.004,54.2
11103,さいたま市大宮区,7956,0.004,102.0
14114,横浜市瀬谷区,7885,0.005,55.1
14216,座間市,7876,0.005,52.7
11219,上尾市,7827,0.003,106.6
14366,足柄上郡開成町,7802,0.013,26.1
14208,逗子市,7532,0.010,50.9
12221,八千代市,7472,0.003,116.6
22133,浜松市西区,7240,0.004,138.5
13210,小金井市,7206,0.004,77.1
11107,さいたま市浦和区,7151,0.003,100.2
22136,浜松市浜北区,7037,0.003,120.6
11224,戸田市,7029,0.004,94.8
14341,中郡大磯町,6894,0.013,30.6
13202,立川市,6793,0.003,74.2
14321,高座郡寒川町,6411,0.008,41.4
12101,千葉市中央区,6400,0.003,110.3
22213,掛川市,6362,0.004,103.6
11221,草加市,6338,0.002,104.8
13212,日野市,6309,0.003,69.1
13219,狛江市,6309,0.005,74.3
10202,高崎市,6309,0.001,137.7
13101,千代田区,6264,0.007,89.0
11102,さいたま市北区,6219,0.003,105.1
